date_c,open_c,high_c,low_c,close_c
1598745600000.0,11465.84,11719.0,11458.0,11711.16
1598832000000.0,11711.17,11800.77,11570.0,11649.51
1598918400000.0,11649.51,12050.85,11515.0,11921.97
1599004800000.0,11921.97,11954.57,11160.1,11388.54
1599091200000.0,11388.54,11462.6,9960.8,10140.85
1599177600000.0,10138.29,10627.05,9875.5,10446.25
1599264000000.0,10446.25,10565.68,9825.0,10166.69
1599350400000.0,10166.69,10347.14,9994.86,10256.2
1599436800000.0,10255.89,10410.75,9875.0,10373.44
1599523200000.0,10373.45,10438.0,9850.0,10126.65
1599609600000.0,10126.66,10343.0,9981.01,10219.2
1599696000000.0,10219.29,10483.35,10070.83,10336.87
1599782400000.0,10336.86,10397.6,10200.0,10387.89
1599868800000.0,10387.89,10477.97,10269.25,10440.92
1599955200000.0,10440.67,10580.11,10200.0,10332.83
1600041600000.0,10332.84,10750.0,10212.34,10671.77
1600128000000.0,10671.77,10930.04,10606.48,10785.31
1600214400000.0,10785.23,11093.0,10661.22,10954.01
1600300800000.0,10954.01,11045.46,10745.83,10939.99
1600387200000.0,10940.0,11038.03,10812.84,10933.39
1600473600000.0,10933.4,11179.79,10887.37,11080.65
1600560000000.0,11080.64,11080.64,10723.0,10920.28
1600646400000.0,10920.28,10988.86,10296.35,10417.22
1600732800000.0,10417.22,10572.71,10353.0,10529.61
1600819200000.0,10529.61,10537.15,10136.82,10241.46
1600905600000.0,10241.46,10795.24,10190.93,10736.32
1600992000000.0,10736.33,10760.53,10556.24,10686.67
1601078400000.0,10686.57,10820.94,10644.68,10728.6
1601164800000.0,10728.59,10799.0,10594.82,10774.25
1601251200000.0,10774.26,10950.0,10626.0,10696.12
1601337600000.0,10696.11,10867.54,10635.87,10840.48
1601424000000.0,10840.58,10849.34,10665.13,10776.59
1601510400000.0,10776.59,10920.0,10437.0,10619.13
1601596800000.0,10619.13,10664.64,10374.0,10570.4
1601683200000.0,10570.4,10603.56,10496.46,10542.06
1601769600000.0,10542.07,10696.87,10517.87,10666.63
1601856000000.0,10666.62,10798.0,10615.64,10792.21
1601942400000.0,10792.2,10800.0,10525.0,10599.66
1602028800000.0,10599.65,10681.87,10546.17,10666.39
1602115200000.0,10666.4,10950.0,10530.41,10925.57
1602201600000.0,10925.44,11104.64,10829.0,11050.64
1602288000000.0,11050.64,11491.0,11050.51,11293.22
1602374400000.0,11293.22,11445.0,11221.0,11369.02
1602460800000.0,11369.02,11720.01,11172.0,11528.25
1602547200000.0,11528.24,11557.0,11300.0,11420.56
1602633600000.0,11420.57,11547.98,11280.0,11417.89
1602720000000.0,11417.89,11617.34,11250.83,11505.12
1602806400000.0,11505.13,11541.15,11200.0,11319.32
1602892800000.0,11319.24,11402.42,11255.0,11360.2
1602979200000.0,11360.31,11505.0,11346.22,11503.14
1603065600000.0,11503.14,11823.99,11407.96,11751.47
1603152000000.0,11751.46,12038.38,11677.59,11909.99
1603238400000.0,11910.0,13217.68,11886.95,12780.96
1603324800000.0,12780.75,13185.0,12678.08,12968.52
1603411200000.0,12968.84,13027.69,12720.08,12923.07
1603497600000.0,12923.06,13166.73,12870.0,13111.73
1603584000000.0,13111.73,13350.0,12888.0,13028.83
1603670400000.0,13029.64,13238.81,12765.0,13052.19
1603756800000.0,13052.15,13789.29,13019.87,13636.17
1603843200000.0,13636.16,13859.48,12888.0,13266.4
1603929600000.0,13266.4,13642.91,12920.77,13455.7
1604016000000.0,13455.69,13669.98,13115.0,13560.1
1604102400000.0,13560.1,14100.0,13411.5,13791.0
